"성별","산업중분류별",2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"성별","산업중분류별",월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%),월평균임금 (원),월급여액 (원),연간특별급여액 (원),임금격차 (%)
"남자","운수업(49~52)",1457748,1444806,155306,-,1556322,1543629,152316,-,1757532,1726367,373981,-,1778359,1760206,217834,-,1876869,1858676,218310,-,1895917,1877544,220472,-,1938856,1919834,228266,-,2038000,2023000,178000,-,2220000,2204000,195000,-,2249000,2229000,242000,-,2288000,2261000,323000,-
"남자","숙박및음식점업(55~56)",1495163,1484071,133104,-,1520013,1511089,107090,-,1506397,1498497,94800,-,1580427,1570853,114888,-,1607156,1600483,80075,-,1673149,1663955,110327,-,1650509,1644008,78008,-,1693000,1689000,46000,-,1792000,1787000,69000,-,1853000,1848000,53000,-,2031000,2027000,50000,-
"남자","출판,영상,방송통신및정보서비스업(58~63)",2459210,2436988,266660,-,2472864,2457603,183129,-,2513008,2493910,229171,-,2520564,2482322,458906,-,2595728,2575130,247178,-,2639801,2615159,295699,-,2680727,2669571,133871,-,2851000,2832000,224000,-,2886000,2868000,217000,-,3208000,3190000,221000,-,3181000,3138000,521000,-
"남자","금융및보험업(64~66)",2578826,2495799,996326,-,2647083,2582286,777562,-,2801807,2728841,875594,-,2922989,2827760,1142743,-,2917393,2867485,598899,-,3182770,3115516,807045,-,3459980,3403057,683070,-,3568000,3489000,950000,-,3329000,3251000,939000,-,3360000,3269000,1092000,-,3603000,3546000,691000,-
"남자","부동산업및임대업(68~69)",1516380,1496774,235269,-,1497331,1490290,84496,-,1609463,1601700,93150,-,1650938,1640808,121564,-,1747537,1736032,138062,-,1704825,1699754,60848,-,1827732,1821852,70560,-,1953000,1938000,186000,-,2137000,2127000,116000,-,2216000,2207000,109000,-,2339000,2334000,58000,-
"남자","전문,과학및기술서비스업(70~73)",2582933,2540894,504465,-,2658475,2598774,716415,-,2574038,2539640,412775,-,2702788,2671045,380910,-,2813194,2782105,373071,-,2875269,2840767,414028,-,3060078,3032943,325615,-,3004000,2979000,299000,-,3091000,3059000,387000,-,3215000,3172000,515000,-,3384000,3325000,700000,-
"남자","사업시설관리및사업지원서비스업(74~75)",1759991,1741353,223652,-,1745388,1729526,190346,-,1737612,1727729,118595,-,1859519,1850910,103307,-,1936714,1908389,339895,-,2119075,2103226,190191,-,2179972,2173976,71954,-,2190000,2175000,177000,-,2277000,2261000,191000,-,2445000,2426000,219000,-,2540000,2532000,89000,-
"남자","교육서비스업(85)",2032570,2023888,104184,-,2110808,2101933,106498,-,2146147,2136821,111909,-,2162484,2157418,60791,-,2167170,2158545,103502,-,2133940,2122876,132771,-,2233690,2226044,91752,-,2220000,2213000,84000,-,2390000,2379000,130000,-,2440000,2427000,164000,-,2444000,2434000,128000,-
"남자","보건업및사회복지서비스업(86~87)",2683648,2663651,239967,-,2853499,2841770,140747,-,2890978,2879261,140600,-,2954158,2945607,102609,-,2996830,2985520,135720,-,2889182,2878707,125698,-,3211912,3192452,233522,-,3251000,3237000,168000,-,3556000,3541000,185000,-,3628000,3613000,179000,-,3237000,3209000,338000,-
"남자","예술,스포츠및여가관련서비스업(90~91)",1723744,1709467,171324,-,1751444,1732499,227338,-,1873257,1864264,107916,-,1981341,1968551,153478,-,1993513,1986862,79806,-,1896459,1888786,92078,-,1799438,1791602,94028,-,2012000,2005000,88000,-,2207000,2195000,152000,-,2243000,2234000,115000,-,2288000,2280000,96000,-
"남자","협회및단체,수리및기타개인서비스업(94~96)",1686231,1666147,241012,-,1748802,1727304,257971,-,1853557,1841865,140304,-,1865490,1849865,187500,-,1901320,1892280,108484,-,1942837,1929887,155401,-,1981853,1968939,154963,-,2058000,2030000,329000,-,2220000,2207000,165000,-,2386000,2372000,165000,-,2524000,2514000,122000,-
