"성별","직업대분류별","연령별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년",
"전체","전문가 및 관련 종사자","30~34세","월급여액","원","2484566","2593136","2626355","2705283","2767986","2838008","2912927","2982000","3111000","3195000","3266000",
"전체","전문가 및 관련 종사자","30~34세","정액급여","원","2400005","2493281","2521802","2592506","2647620","2716558","2773764","2855000","2961000","3036000","3108000",
"전체","전문가 및 관련 종사자","30~34세","초과급여","원","84560","99855","104553","112776","120366","121451","139163","127000","150000","159000","157000",
"전체","전문가 및 관련 종사자","30~34세","연간특별급여액","원","5375493","5423484","5326358","5095223","5347936","5927618","4810123","6622000","5702000","6133000","5943000",
"전체","전문가 및 관련 종사자","30~34세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","35~39세","월임금총액","원","3643264.66667","3721149.66667","3714261.16667","3827027.66667","3896308.41667","4035436.91667","4100168.41667","4250000","4246000","4387000","4520000",
"전체","전문가 및 관련 종사자","35~39세","월급여액","원","3039424","3145170","3179216","3336241","3368673","3434845","3507223","3566000","3689000","3766000","3881000",
"전체","전문가 및 관련 종사자","35~39세","정액급여","원","2950151","3045039","3077663","3225812","3247812","3303708","3363878","3428000","3532000","3604000","3705000",
"전체","전문가 및 관련 종사자","35~39세","초과급여","원","89273","100131","101554","110429","120861","131137","143345","139000","157000","162000","176000",
"전체","전문가 및 관련 종사자","35~39세","연간특별급여액","원","7246088","6911756","6420542","5889440","6331625","7207103","7115345","8200000","6686000","7449000","7671000",
"전체","전문가 및 관련 종사자","35~39세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","40~44세","월임금총액","원","4101551.91667","4204444.08333","4211393.75","4265458.75","4271855.08333","4373983.75","4666851.41667","4625000","4595000","4776000","4892000",
"전체","전문가 및 관련 종사자","40~44세","월급여액","원","3399570","3499760","3554090","3685207","3662055","3720731","3875793","3893000","3954000","4077000","4200000",
"전체","전문가 및 관련 종사자","40~44세","정액급여","원","3303343","3399258","3443862","3566360","3546613","3589387","3719475","3756000","3797000","3916000","4025000",
"전체","전문가 및 관련 종사자","40~44세","초과급여","원","96227","100502","110228","118847","115442","131343","156318","137000","157000","161000","175000",
"전체","전문가 및 관련 종사자","40~44세","연간특별급여액","원","8423783","8456209","7887645","6963021","7317601","7839033","9492701","8785000","7681000","8389000","8303000",
"전체","전문가 및 관련 종사자","40~44세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","45~49세","월임금총액","원","4267775.33333","4368920.5","4529544.75","4548957.33333","4491301.75","4585933.16667","4806338.41667","4715000","4823000","4904000","5081000",
"전체","전문가 및 관련 종사자","45~49세","월급여액","원","3557769","3701300","3829072","3922670","3853964","3887061","4026231","4027000","4152000","4215000","4361000",
"전체","전문가 및 관련 종사자","45~49세","정액급여","원","3461963","3601853","3713762","3803191","3731024","3749184","3876855","3887000","4001000","4063000","4194000",
"전체","전문가 및 관련 종사자","45~49세","초과급여","원","95806","99446","115310","119479","122940","137877","149376","140000","151000","152000","167000",
"전체","전문가 및 관련 종사자","45~49세","연간특별급여액","원","8520076","8011446","8405673","7515448","7648053","8386466","9361289","8254000","8043000","8266000","8635000",
"전체","전문가 및 관련 종사자","45~49세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","50~54세","월임금총액","원","4405033.25","4399164.33333","4666452.91667","4677639","4664255.08333","4720217.75","4816671","4770000","4960000","5053000","5101000",
"전체","전문가 및 관련 종사자","50~54세","월급여액","원","3724989","3770714","3954692","4067636","3994740","4067183","4139490","4143000","4309000","4367000","4419000",
"전체","전문가 및 관련 종사자","50~54세","정액급여","원","3639989","3674989","3851500","3956499","3867681","3944581","4005495","4006000","4166000","4213000","4261000",
"전체","전문가 및 관련 종사자","50~54세","초과급여","원","85000","95725","103192","111137","127058","122603","133994","137000","142000","154000","158000",
"전체","전문가 및 관련 종사자","50~54세","연간특별급여액","원","8160531","7541404","8541131","7320036","8034181","7836417","8126172","7522000","7821000","8228000","8188000",
"전체","전문가 및 관련 종사자","50~54세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","55~59세","월임금총액","원","4358158.33333","4381496.5","4475743.58333","4755410.16667","4655736.16667","4589714.83333","4563170.33333","4580000","4906000","4951000","5024000",
"전체","전문가 및 관련 종사자","55~59세","월급여액","원","3778816","3838155","3868093","4228756","4093652","3998616","4031596","4094000","4302000","4344000","4436000",
"전체","전문가 및 관련 종사자","55~59세","정액급여","원","3717338","3768845","3790851","4153412","3993490","3913396","3933447","3983000","4182000","4219000","4314000",
"전체","전문가 및 관련 종사자","55~59세","초과급여","원","61478","69310","77242","75344","100162","85221","98149","111000","120000","124000","123000",
"전체","전문가 및 관련 종사자","55~59세","연간특별급여액","원","6952108","6520098","7291807","6319850","6745010","7093186","6378892","5832000","7254000","7287000","7053000",
"전체","전문가 및 관련 종사자","55~59세","임금격차","%","-","-","-","-","","","","","","","",
"전체","전문가 및 관련 종사자","60세이상","월임금총액","원","3468881","3663855.08333","3436804.66667","3811293.58333","3694239.66667","3531745.75","3540728.58333","3688000","4092000","3963000","4103000",
"전체","전문가 및 관련 종사자","60세이상","월급여액","원","3088806","3314014","3144643","3506556","3398893","3215160","3271750","3441000","3798000","3675000","3806000",
"전체","전문가 및 관련 종사자","60세이상","정액급여","원","3059730","3276089","3109708","3465411","3360783","3167849","3210450","3380000","3732000","3618000","3751000",
"전체","전문가 및 관련 종사자","60세이상","초과급여","원","29076","37926","34935","41144","38110","47311","61300","61000","66000","57000","55000",
"전체","전문가 및 관련 종사자","60세이상","연간특별급여액","원","4560900","4198093","3505940","3656851","3544160","3799029","3227743","2964000","3526000","3457000","3559000",
"전체","전문가 및 관련 종사자","60세이상","임금격차","%","-","-","-","-","","","","","","","",
"전체","사무 종사자","계","월임금총액","원","2865046.58333","2931786","3166780.41667","3315077.58333","3389931.16667","3575446.66667","3634420.5","3697000","3745000","3962000","4131000",
"전체","사무 종사자","계","월급여액","원","2367193","2447381","2630888","2804922","2866182","3007092","3097533","3169000","3238000","3428000","3581000",
"전체","사무 종사자","계","정액급여","원","2283489","2355124","2523990","2695604","2746642","2878282","2966160","3046000","3105000","3288000","3441000",
"전체","사무 종사자","계","초과급여","원","83705","92257","106898","109318","119539","128810","131374","122000","133000","140000","139000",
"전체","사무 종사자","계","연간특별급여액","원","5974243","5812860","6430709","6121867","6284990","6820256","6442650","6335000","6083000","6406000","6609000",
"전체","사무 종사자","계","임금격차","%","-","-","-","-","","","","","","","",
"전체","사무 종사자","19세이하","월임금총액","원","1279830.58333","1292558.91667","1572764.41667","1475518.91667","1544429.33333","1666935.66667","1607164.33333","1663000","1780000","1912000","2093000",
"전체","사무 종사자","19세이하","월급여액","원","1170008","1219125","1478584","1393307","1409617","1577848","1521437","1600000","1718000","1847000","2025000",
"전체","사무 종사자","19세이하","정액급여","원","1107389","1159305","1405231","1320792","1308261","1497699","1448635","1532000","1618000","1769000","1948000",
"전체","사무 종사자","19세이하","초과급여","원","62619","59820","73353","72515","101357","80150","72802","68000","100000","79000","76000",
"전체","사무 종사자","19세이하","연간특별급여액","원","1317871","881207","1130165","986543","1617748","1069052","1028728","756000","749000","773000","820000",
"전체","사무 종사자","19세이하","임금격차","%","-","-","-","-","","","","","","","",
"전체","사무 종사자","20~24세","월임금총액","원","1455711.83333","1475660.41667","1670187.83333","1685190.66667","1821776.5","1831763","1833332.41667","1917000","1971000","2119000","2244000",
"전체","사무 종사자","20~24세","월급여액","원","1316580","1369940","1541167","1566033","1633184","1682464","1718887","1795000","1854000","2002000","2115000",
"전체","사무 종사자","20~24세","정액급여","원","1262616","1315182","1476152","1496242","1542849","1604023","1649414","1722000","1769000","1921000","2034000",
"전체","사무 종사자","20~24세","초과급여","원","53964","54757","65015","69791","90335","78441","69474","73000","85000","81000","81000",
